index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
147,Бард. Альбом первый_ Отступники, Гедеон,4.7,1141,4.7,14 279,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бард. Альбом первый_ Отступники - Гедеон.txt
148,Информация важна. Серьёзно., Onikage Spanner & Youta,3.3,69,2.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Информация важна. Серьёзно. - Onikage Spanner & Youta.txt
149,Альтернатива. Точка отсчета, Андрей Красников,4.3,449,3.7,32,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Альтернатива. Точка отсчета - Андрей Красников.txt
150,Божественный призыв. Том 2, Василий Вермолёк,4.5,7,4.2,137,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Божественный призыв. Том 2 - Василий Вермолёк.txt
151,Мир ждёт героя, Влад Непальский,3.5,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир ждёт героя - Влад Непальский.txt
152,Сен. Потрошитель демонов, Илья Александрович Арсёнов,4.4,7402,4.4,7879,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сен. Потрошитель демонов - Илья Александрович Арсёнов.txt
153,Потерянные земли, Милослав Князев,4.6,181,3.9,47,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Потерянные земли - Милослав Князев.txt
154,Тео. Тайна красной планеты [СИ], Нил Алмазов,3.8,359,3.8,301,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тео. Тайна красной планеты [СИ] - Нил Алмазов.txt
155,ВИКС. Душелов, Сергей Григорьевич Зайцев,4.8,275,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/ВИКС. Душелов - Сергей Григорьевич Зайцев.txt
156,Наказан играть. Книга 4, Евгений Осьминожкин,4.0,26,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Наказан играть. Книга 4 - Евгений Осьминожкин.txt
157,Скурфайфер, Рос Пер,4.8,554,4.3,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Скурфайфер - Рос Пер.txt
158,Я – Игрок, Павел Сергеевич Кувшинов,4.0,2,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Я – Игрок - Павел Сергеевич Кувшинов.txt
159,Что нам Содружество. Трилогия, Владимир Николаевич Скворцов,4.5,2,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Что нам Содружество. Трилогия - Владимир Николаевич Скворцов.txt
160,Астральщик. Том 2, Анджей Ясинский,4.5,236,4.4,143,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Астральщик. Том 2 - Анджей Ясинский.txt
161,Правдивая история Азраила. Враг двух миров. Том 3,й,4.5,495,3.9,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Правдивая история Азраила. Враг двух миров. Том 3-й. - Антон Тутынин.txt
162,Игрок поневоле, Терентий Гравин,4.9,7,3.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игрок поневоле - Терентий Гравин.txt
163,Дурак 100 LVL, Михаил Кресо,4.4,15,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дурак 100 LVL - Михаил Кресо.txt
164,Ник_ Ученик мага. Стихийник. Админ, Анджей Ясинский,4.4,22,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ник_ Ученик мага. Стихийник. Админ - Анджей Ясинский.txt
165,Тестировщик миров, Алиса Перемолотова & Владимир Перемолотов,2.7,14,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тестировщик миров - Алиса Перемолотова & Владимир Перемолотов.txt
166,Квазар. Доминантная особь., Антон Тутынин,5.0,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Квазар. Доминантная особь. - Антон Тутынин.txt
167,Истребитель 3_ Зооморф, Иван Шаман,4.2,261,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Истребитель 3_ Зооморф - Иван Шаман.txt
168,Сердце Дракона. Том 11 (СИ), Кирилл Сергеевич Клеванский,4.8,101,4.7,237,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сердце Дракона. Том 11 (СИ) - Кирилл Сергеевич Клеванский.txt
169,Дни и ночи. Двадцать дней без войны, Константин Михайлович Симонов,4.7,56,4.6,91,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дни и ночи. Двадцать дней без войны - Константин Михайлович Симонов.txt
170,Белые ночи (сборник), Федор Михайлович Достоевский,4.4,58,4.3,136,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Белые ночи (сборник) - Федор Михайлович Достоевский.txt
171,Попрыгунчик. Путь воина., Алексей Николаевич Калинин,3.1,29,3.7,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попрыгунчик. Путь воина. - Алексей Николаевич Калинин.txt
172,Пять жизней читера, Артем Каменистый,4.5,1550,4.3,243,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пять жизней читера - Артем Каменистый.txt
173,Заханд. Потомки, Алексей Владимирович Андриенко,4.7,24,3.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Заханд. Потомки - Алексей Владимирович Андриенко.txt
174,Ярость бога, Дем Михайлов,4.0,108,3.8,51,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ярость бога - Дем Михайлов.txt
175,Противостояние. Обретение мечты, Александр Валерьевич Тарасов,4.3,45,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Противостояние. Обретение мечты - Александр Валерьевич Тарасов.txt
176,Игра на нервах,Денис Деев,4.4,116,3.9,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра на нервах - Денис Деев.txt
177,Я - другой!,"Денис Деев,4.3,54,3.5,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Я - другой! - Денис Деев.txt
178,Свободные Миры. Книга 4. Падение Змея, Анатолий Натанович Арсеньев,4.2,50,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свободные Миры. Книга 4. Падение Змея - Анатолий Натанович Арсеньев.txt
179,Геймер. Реал vs вирт, Виталий Егоренков,4.1,66,3.0,28,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Геймер. Реал vs вирт - Виталий Егоренков.txt
180,Игра Хаоса. Книга пятая, Алексей Свадковский,4.4,110,4.1,66,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра Хаоса. Книга пятая - Алексей Свадковский.txt
181,Ник. Чародей. Том 1, Анджей Ясинский,4.4,1600,4.1,2013,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ник. Чародей. Том 1 - Анджей Ясинский.txt
182,Обретенная, Сергей Плотников,4.3,60,4.2,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Обретенная - Сергей Плотников.txt
183,Пробуждение Крови, Алль Терр,3.9,52,3.7,11,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пробуждение Крови - Алль Терр.txt
184,Ник. Землянин. Том 1, Анджей Ясинский,4.4,1600,4.1,2013,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ник. Землянин. Том 1 - Анджей Ясинский.txt
185,Одиночка. Акванавт, Константин Георгиевич Калбазов,4.3,167,3.8,36,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Одиночка. Акванавт - Константин Георгиевич Калбазов.txt
186,Бретер на вес золота, Дмитрий Евдокимов,4.6,130,3.9,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Бретер на вес золота - Дмитрий Евдокимов.txt
187,Эрта. Падение терратоса, Николай Побережник,4.5,74,4.2,14,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эрта. Падение терратоса - Николай Побережник.txt
188,Изгнанник. Дилогия, Виктор Марков,4.8,463,4.5,35,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Изгнанник. Дилогия - Виктор Марков.txt
189,Файролл. Квадратура круга. Том 2, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Квадратура круга. Том 2 - Андрей Васильев.txt
190,Терранец. Книга 2. Несбывшиеся надежды., Алексей Садовский,4.3,270,4.0,20,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Терранец. Книга 2. Несбывшиеся надежды. - Алексей Садовский.txt
191,Ступень 4. Наследники демиурга, Юрий Л Киселев,3.7,14,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ступень 4. Наследники демиурга - Юрий Л Киселев.txt
192,Прислужник, Сонмониус,3.4,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прислужник - Сонмониус.txt
193,Охотник 8. Величие… В чем оно_, Хайдарали Усманов,4.0,35,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охотник 8. Величие… В чем оно_ - Хайдарали Усманов.txt
194,Трансформация, Валерий Старский,4.2,128,3.7,37,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Трансформация - Валерий Старский.txt
195,Туманность Андромеды (сборник), Иван Антонович Ефремов,4.9,19,4.2,32,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Туманность Андромеды (сборник) - Иван Антонович Ефремов.txt
196,Уход в игру. Легкие деньги, Егор Михайлович Дрознес,4.3,69,3.5,12,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Уход в игру. Легкие деньги - Егор Михайлович Дрознес.txt
197,Заханд. Аннексии (СИ), Алексей Владимирович Андриенко,4.7,24,3.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Заханд. Аннексии (СИ) - Алексей Владимирович Андриенко.txt
198,Мрак_ Книга первая. Чёрная дьяволица, Бухой Дед,4.4,32,4.5,291,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мрак_ Книга первая. Чёрная дьяволица - Бухой Дед.txt
199,Княжна Тараканова и принцесса Владимирская (сборник), Павел Иванович Мельников,4.6,15,4.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Княжна Тараканова и принцесса Владимирская (сборник) - Павел Иванович Мельников-Печерский.txt
200,Игра не для всех. 1941, Даниил Сергеевич Калинин,4.4,140,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра не для всех. 1941 - Даниил Сергеевич Калинин.txt
201,Стервятник. Книга вторая. Приключения начинаются, Kondor,4.7,927,4.7,262,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Стервятник. Книга вторая. Приключения начинаются - Kondor.txt
202,Безграничье. Начало, Александер Юрьевич Ибрагимов,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничье. Начало - Александер Юрьевич Ибрагимов.txt
203,Войсковая разведка, Дмитрий Морозов,4.4,46,4.0,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Войсковая разведка - Дмитрий Морозов.txt
204,Звездный лорд. Том 4, Александр Шаравар,4.5,1177,4.2,1826,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Звездный лорд. Том 4 - Александр Шаравар.txt
205,Худший из миров. Книга 3, Валерий Иванович Софроний,4.3,193,3.7,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Худший из миров. Книга 3 - Валерий Иванович Софроний.txt
206,Сказка На Ночь I_ Перерождённый, Сергей Чернявский,4.1,13,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сказка На Ночь I_ Перерождённый - Сергей Чернявский.txt
207,Игра в Игре. Том 1. Реальность, Омельянов Ярослав,4.0,1,4.5,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра в Игре. Том 1. Реальность - Омельянов Ярослав.txt
208,СКАЙФАЙ рождение псиона, Алекс Нагорный,4.3,20,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/СКАЙФАЙ рождение псиона - Алекс Нагорный.txt
209,Контакт. Вторжение, Никита Семин,4.5,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Контакт. Вторжение - Никита Семин.txt
210,Одиночка. Патриот, Константин Георгиевич Калбазов,4.5,178,3.8,23,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Одиночка. Патриот - Константин Георгиевич Калбазов.txt
211,Овелон, Алекс Каменев,4.0,32,2.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Овелон - Алекс Каменев.txt
212,Эксперт. Анклав Северный, Сергей Соколов,4.6,1838,4.4,2636,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эксперт. Анклав Северный - Сергей Соколов.txt
213,"Я, Есенин Сергей… ", Сергей Александрович Есенин,4.6,76,4.7,31,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Я, Есенин Сергей… - Сергей Александрович Есенин.txt"
